MTry	OverlapUnsupRfPlink	OverlapSupRfPlink
1	0.13	0.11
2	0.09	0.24
3	0.07	0.25
4	0.05	0.34
5	0.11	0.28
6	0.07	0.36
7	0.12	0.32
8	0.06	0.35
9	0.15	0.38
10	0.06	0.35
11	0.13	0.41
12	0.09	0.36
13	0.1	0.43
14	0.11	0.42
15	0.07	0.45
16	0.07	0.45
17	0.07	0.45
18	0.11	0.44
19	0.14	0.43
20	0.08	0.46
21	0.12	0.42
22	0.06	0.47
23	0.09	0.45
24	0.12	0.5
25	0.09	0.5
26	0.14	0.45
27	0.11	0.52
28	0.08	0.45
29	0.08	0.48
30	0.09	0.45
31	0.08	0.48
32	0.06	0.51
33	0.12	0.48
34	0.1	0.48
35	0.08	0.57
36	0.09	0.48
37	0.1	0.52
38	0.09	0.52
39	0.1	0.47
40	0.08	0.53
41	0.07	0.53
42	0.13	0.5
43	0.06	0.53
44	0.08	0.53
45	0.08	0.55
46	0.1	0.55
47	0.1	0.57
48	0.11	0.53
49	0.1	0.49
50	0.1	0.55
51	0.13	0.54
52	0.07	0.53
53	0.09	0.59
54	0.08	0.53
55	0.08	0.54
56	0.06	0.58
57	0.07	0.55
58	0.16	0.58
59	0.08	0.57
60	0.08	0.53
61	0.09	0.56
62	0.11	0.55
63	0.09	0.54
64	0.06	0.54
65	0.1	0.58
66	0.12	0.52
67	0.09	0.54
68	0.08	0.54
69	0.1	0.6
70	0.12	0.6
71	0.09	0.6
72	0.06	0.57
73	0.11	0.57
74	0.12	0.58
75	0.1	0.61
76	0.14	0.55
77	0.11	0.54
78	0.07	0.55
79	0.08	0.58
80	0.09	0.56
81	0.06	0.6
82	0.12	0.55
83	0.13	0.58
84	0.11	0.53
85	0.09	0.54
86	0.09	0.6
87	0.08	0.57
88	0.09	0.58
89	0.08	0.56
90	0.09	0.58
91	0.11	0.59
92	0.11	0.61
93	0.13	0.64
94	0.1	0.58
95	0.07	0.59
96	0.11	0.59
97	0.13	0.61
98	0.12	0.62
99	0.14	0.58
100	0.06	0.57
101	0.1	0.6
102	0.08	0.61
103	0.08	0.58
104	0.12	0.57
105	0.14	0.57
106	0.1	0.57
107	0.08	0.61
108	0.12	0.56
109	0.11	0.58
110	0.12	0.59
111	0.09	0.6
112	0.1	0.57
113	0.07	0.58
114	0.1	0.58
115	0.09	0.61
116	0.1	0.63
117	0.1	0.58
