MTry	OverlapUnsupRfPlink	OverlapSupRfPlink
1	0.22	0.82
2	0.16	0.82
3	0.04	0.78
4	0.0	0.8
5	0.0	0.74
6	0.02	0.78
7	0.0	0.86
8	0.0	0.8
9	0.02	0.88
10	0.06	0.9
11	0.02	0.86
12	0.02	0.84
13	0.02	0.9
14	0.1	0.86
15	0.04	0.92
16	0.18	0.92
17	0.02	0.92
18	0.0	0.94
19	0.0	0.9
20	0.12	0.9
21	0.02	0.9
22	0.02	0.96
23	0.02	0.94
24	0.0	0.9
25	0.06	0.92
26	0.02	0.92
27	0.08	0.92
28	0.12	0.88
29	0.02	0.92
30	0.02	0.88
31	0.1	0.94
32	0.2	0.94
33	0.08	0.92
34	0.14	0.92
35	0.06	0.94
36	0.04	0.86
37	0.1	0.9
38	0.0	0.94
39	0.08	0.94
40	0.06	0.94
41	0.14	0.9
42	0.08	0.98
43	0.1	0.92
44	0.08	0.96
45	0.06	0.94
46	0.12	0.98
47	0.18	0.98
48	0.08	0.98
49	0.08	1.0
50	0.04	0.98
51	0.08	0.96
52	0.04	1.0
53	0.16	0.96
54	0.08	0.98
55	0.1	0.96
56	0.08	0.96
57	0.08	0.98
58	0.02	1.0
59	0.1	1.0
60	0.14	0.98
61	0.04	1.0
62	0.04	0.98
63	0.08	1.0
64	0.14	0.96
65	0.04	1.0
66	0.16	1.0
67	0.08	1.0
68	0.12	0.98
69	0.14	0.98
70	0.16	1.0
71	0.2	1.0
72	0.08	0.98
73	0.06	1.0
74	0.1	1.0
75	0.08	0.98
76	0.16	1.0
77	0.2	1.0
78	0.1	0.98
79	0.18	1.0
80	0.1	1.0
81	0.28	1.0
82	0.14	1.0
83	0.16	1.0
84	0.12	1.0
85	0.06	1.0
86	0.1	1.0
87	0.14	1.0
88	0.08	1.0
89	0.14	1.0
90	0.16	1.0
91	0.22	1.0
92	0.14	1.0
93	0.18	1.0
94	0.16	1.0
95	0.18	1.0
96	0.1	1.0
97	0.08	1.0
98	0.2	1.0
99	0.02	1.0
100	0.26	1.0
101	0.2	1.0
102	0.22	1.0
103	0.18	1.0
104	0.2	1.0
105	0.16	1.0
106	0.18	1.0
107	0.18	1.0
108	0.16	1.0
109	0.2	1.0
110	0.2	1.0
111	0.22	1.0
112	0.08	1.0
113	0.16	1.0
114	0.2	1.0
115	0.08	1.0
116	0.14	1.0
117	0.3	1.0
118	0.14	1.0
119	0.16	1.0
120	0.18	1.0
121	0.18	1.0
122	0.12	1.0
123	0.22	1.0
124	0.2	1.0
125	0.22	1.0
126	0.16	1.0
127	0.18	1.0
128	0.14	1.0
129	0.2	1.0
130	0.18	1.0
131	0.2	1.0
132	0.1	1.0
133	0.12	1.0
134	0.2	1.0
135	0.16	1.0
136	0.14	1.0
137	0.22	1.0
138	0.18	1.0
139	0.16	1.0
140	0.16	1.0
141	0.1	1.0
142	0.22	1.0
143	0.12	1.0
144	0.14	1.0
145	0.14	1.0
146	0.24	1.0
147	0.22	1.0
148	0.18	1.0
149	0.2	1.0
150	0.12	1.0
151	0.3	1.0
152	0.2	1.0
153	0.18	1.0
154	0.24	1.0
155	0.2	1.0
156	0.2	1.0
157	0.22	1.0
158	0.16	1.0
159	0.12	1.0
160	0.18	1.0
161	0.24	1.0
162	0.2	1.0
163	0.12	1.0
164	0.24	1.0
165	0.26	1.0
166	0.24	1.0
167	0.14	1.0
168	0.16	1.0
169	0.16	1.0
170	0.18	1.0
171	0.16	1.0
172	0.1	1.0
173	0.1	1.0
174	0.16	1.0
175	0.2	1.0
176	0.24	1.0
177	0.16	1.0
